LA FAVORITA,,,Tesis Emanuel/Serrana,,,COMPONENTES RENDIMIENTO,,,,,,,,,,,
Festuca ,RIZAR,,,,,,,,,,,,,,,,
,,,"Corte de 2 metros (1 metro, 2 surcos)",,,Distancia entre hileras: ,,38,,,,,,,,,
,,,,,,,,,,,,Variables a calcular,,,,,
Fecha,Muestra,Condición,Tratamiento,Repetición,Panojas/2m,Peso sucio,Peso limpio,PMS,,,PMSx,Panojas/m2,Rto.sucio (Kg/ha),Rto.limpio (kg/ha),Merma (%),Sem/panoja,IC
2025-11-12,153,Secano,M0,R1,457,44.2,34.5,0.2227,0.2244,0.2342,2.271,,,,,,
2025-11-12,154,Secano,M1,R1,622,131.4,107.5,0.2697,0.234,0.2548,2.5283333333333333,,,,,,
2025-11-12,155,Secano,M2,R1,678,111.5,91.4,0.2468,0.2428,0.2495,2.4636666666666667,,,,,,
2025-11-12,156,Secano,M3,R1,507,110,93.3,0.2291,0.2519,0.2355,2.388333333333333,,,,,,
2025-11-12,157,Secano,M4,R1,549,114.6,95.5,0.2434,0.255,0.2416,2.466666666666667,,,,,,
2025-11-12,158,Secano,M5,R1,390,84.8,71.7,0.234,0.2444,0.2523,2.435666666666667,,,,,,
2025-11-12,159,Secano,M3,R2,612,119.7,97.4,0.2259,0.2183,0.2343,2.2616666666666667,,,,,,
2025-11-12,160,Secano,M2,R2,540,124.7,106.1,0.2621,0.2573,0.2589,2.5943333333333336,,,,,,
2025-11-12,161,Secano,M4,R2,586,145.4,125,0.2594,0.2624,0.2729,2.6489999999999996,,,,,,
2025-11-12,162,Secano,M0,R2,433,57.1,48.2,0.2613,0.2479,0.2509,2.533666666666667,,,,,,
2025-11-12,163,Secano,M1,R2,693,129.7,110.3,0.2489,0.2543,0.2527,2.5196666666666667,,,,,,
2025-11-12,164,Secano,M5,R2,531,117.7,97.6,0.2563,0.2418,0.237,2.450333333333333,,,,,,
2025-11-12,165,Secano,M3,R3,562,121.1,104.1,0.2467,0.2431,0.229,2.396,,,,,,
2025-11-12,166,Secano,M4,R3,485,119.7,103.3,0.2418,0.2242,0.2344,2.3346666666666662,,,,,,
2025-11-12,167,Secano,M0,R3,502,55.3,46.8,0.2476,0.2401,0.2227,2.3680000000000003,,,,,,
2025-11-12,168,Secano,M1,R3,748,133.3,109.2,0.2447,0.2369,0.2325,2.3803333333333336,,,,,,
2025-11-12,169,Secano,M5,R3,648,118.6,103.2,0.2455,0.2669,0.2511,2.545,,,,,,
2025-11-12,170,Secano,M2,R3,657,127.9,109.2,0.2374,0.2161,0.2274,2.2696666666666667,,,,,,
2025-11-12,171,Secano,M1,R4,600,110.3,90.7,0.2076,0.1978,0.192,1.991333333333333,,,,,,
2025-11-12,172,Secano,M0,R4,537,100,84.1,0.2471,0.2505,0.2379,2.4516666666666667,,,,,,
2025-11-12,173,Secano,M5,R4,498,133.3,114.7,0.2714,0.2568,0.2477,2.586333333333333,,,,,,
2025-11-12,174,Secano,M4,R4,667,146.2,123.3,0.2414,0.2402,0.2277,2.3643333333333336,,,,,,
2025-11-12,175,Secano,M3,R4,566,136.7,113.6,0.2332,0.2313,0.2368,2.337666666666667,,,,,,
2025-11-12,176,Secano,M2,R4,709,129.1,108.9,0.2628,0.2523,0.2692,2.6143333333333336,,,,,,
2025-11-12,177,Riego,M0,R1,452,52.5,36.9,0.2277,0.2398,0.2275,2.316666666666667,,,,,,
2025-11-12,178,Riego,M1,R1,571,114.5,87.4,0.2344,0.237,0.2362,2.3586666666666667,,,,,,
2025-11-12,179,Riego,M2,R1,580,152.4,128.7,0.239,0.2126,0.214,2.2186666666666666,,,,,,
2025-11-12,180,Riego,M3,R1,640,139.3,108.8,0.2231,0.2229,0.212,2.193333333333333,,,,,,
2025-11-12,181,Riego,M4,R1,487,112.8,93.9,0.2191,0.2173,0.234,2.2346666666666666,,,,,,
2025-11-12,182,Riego,M5,R1,369,107.8,89.5,0.2522,0.2584,0.2603,2.569666666666666,,,,,,
2025-11-12,183,Riego,M3,R2,471,94.9,77.7,0.2758,0.2628,0.2712,2.699333333333333,,,,,,
2025-11-12,184,Riego,M2,R2,648,120,100.1,0.2367,0.2238,0.2305,2.3033333333333337,,,,,,
2025-11-12,185,Riego,M4,R2,418,127.3,109.7,0.2675,0.2698,0.265,2.6743333333333337,,,,,,
2025-11-12,186,Riego,M0,R2,386,62.2,48.6,0.2153,0.2278,0.2174,2.2016666666666667,,,,,,
2025-11-12,187,Riego,M1,R2,593,116.4,92.7,0.2212,0.2143,0.2095,2.15,,,,,,
2025-11-12,188,Riego,M5,R2,459,108.7,85.8,0.2148,0.2207,0.2141,2.1653333333333333,,,,,,
2025-11-12,189,Riego,M3,R3,684,123.4,100,0.2149,0.2074,0.2114,2.1123333333333334,,,,,,
2025-11-12,190,Riego,M4,R3,443,107.4,80.6,0.2028,0.207,0.2039,2.0456666666666665,,,,,,
2025-11-12,191,Riego,M0,R3,388,61.6,50.6,0.2322,0.2455,0.2473,2.4166666666666665,,,,,,
2025-11-12,192,Riego,M1,R3,596,123.4,94.6,0.205,0.2269,0.2298,2.2056666666666667,,,,,,
2025-11-12,193,Riego,M5,R3,403,110,92.1,0.2324,0.2354,0.2345,2.3409999999999997,,,,,,
