observation_id,date,sample_id,sector,treatment,block,tillers_30_cm,green_weight_1m_g,green_weight_sample_g,tray_weight_g,dry_weight_g,dry_matter_pct
dm_20250612_riego_general_r1,2025-06-12,1,Riego,GENERAL,R1,265.0,431.3,642.0,72.0,539.0,38.3
dm_20250612_riego_general_r2,2025-06-12,2,Riego,GENERAL,R2,265.0,314.1,685.0,56.0,547.0,34.0
dm_20250612_riego_general_r3,2025-06-12,3,Riego,GENERAL,R3,278.0,467.5,738.0,81.0,598.0,38.3
dm_20250612_riego_general_r4,2025-06-12,4,Riego,GENERAL,R4,274.0,359.4,696.0,28.0,561.0,34.4
dm_20250612_riego_general_r5,2025-06-12,,Riego,GENERAL,R5,233.0,,,,,
dm_20250612_secano_general_r1,2025-06-12,5,Secano,GENERAL,R1,252.0,404.7,680.0,11.0,569.0,34.7
dm_20250612_secano_general_r2,2025-06-12,6,Secano,GENERAL,R2,300.0,571.9,736.0,42.0,591.0,33.3
dm_20250612_secano_general_r3,2025-06-12,7,Secano,GENERAL,R3,305.0,445.0,680.0,25.0,558.0,31.1
dm_20250612_secano_general_r4,2025-06-12,8,Secano,GENERAL,R4,263.0,284.7,709.0,45.0,587.0,35.8
dm_20250612_secano_general_r5,2025-06-12,,Secano,GENERAL,R5,320.0,,,,,
dm_20250916_secano_m0_r1,2025-09-16,9,Secano,M0,R1,,671.0,74.5,97.0,22.0,29.5
dm_20250916_secano_m1_r1,2025-09-16,10,Secano,M1,R1,,1620.0,126.0,31.0,22.0,17.5
dm_20250916_secano_m2_r1,2025-09-16,11,Secano,M2,R1,,1699.0,131.8,56.0,25.0,19.0
dm_20250916_secano_m3_r1,2025-09-16,12,Secano,M3,R1,,1328.0,130.0,29.0,14.0,10.8
dm_20250916_secano_m4_r1,2025-09-16,13,Secano,M4,R1,,803.0,108.6,24.0,37.0,34.1
dm_20250916_secano_m5_r1,2025-09-16,14,Secano,M5,R1,,540.0,66.0,92.0,16.0,24.2
dm_20250916_secano_m3_r2,2025-09-16,15,Secano,M3,R2,,1378.0,137.2,9.0,27.0,19.7
dm_20250916_secano_m2_r2,2025-09-16,16,Secano,M2,R2,,1980.0,86.0,65.0,19.0,22.1
dm_20250916_secano_m4_r2,2025-09-16,17,Secano,M4,R2,,959.0,77.0,55.0,18.0,23.4
dm_20250916_secano_m0_r2,2025-09-16,18,Secano,M0,R2,,466.0,85.0,76.0,25.0,29.4
dm_20250916_secano_m1_r2,2025-09-16,19,Secano,M1,R2,,1735.0,110.6,42.0,23.3,21.1
dm_20250916_secano_m5_r2,2025-09-16,20,Secano,M5,R2,,716.0,104.9,8.0,24.0,22.9
dm_20250916_secano_m3_r3,2025-09-16,21,Secano,M3,R3,,1220.0,106.3,133.0,21.0,19.8
dm_20250916_secano_m4_r3,2025-09-16,22,Secano,M4,R3,,1038.0,146.3,117.0,27.0,18.5
dm_20250916_secano_m0_r3,2025-09-16,23,Secano,M0,R3,,581.0,65.7,51.0,19.0,28.9
dm_20250916_secano_m1_r3,2025-09-16,24,Secano,M1,R3,,1854.0,137.5,66.0,25.0,18.2
dm_20250916_secano_m5_r3,2025-09-16,25,Secano,M5,R3,,640.0,105.4,45.0,26.1,24.8
dm_20250916_secano_m2_r3,2025-09-16,26,Secano,M2,R3,,1495.0,179.9,27.0,70.0,38.9
dm_20250916_secano_m1_r4,2025-09-16,27,Secano,M1,R4,,1408.0,136.9,107.0,26.0,19.0
dm_20250916_secano_m0_r4,2025-09-16,28,Secano,M0,R4,,649.0,113.9,78.0,32.0,28.1
dm_20250916_secano_m5_r4,2025-09-16,29,Secano,M5,R4,,551.0,117.1,43.0,27.0,23.1
dm_20250916_secano_m4_r4,2025-09-16,30,Secano,M4,R4,,971.0,196.7,83.0,39.0,19.8
dm_20250916_secano_m3_r4,2025-09-16,31,Secano,M3,R4,,1360.0,170.8,87.0,34.0,19.9
dm_20250916_secano_m2_r4,2025-09-16,32,Secano,M2,R4,,1450.0,119.5,18.0,23.0,19.2
dm_20250916_riego_m0_r1,2025-09-16,33,Riego,M0,R1,,725.0,70.0,17.0,19.0,27.1
dm_20250916_riego_m1_r1,2025-09-16,34,Riego,M1,R1,,1591.0,101.7,94.0,20.0,19.7
dm_20250916_riego_m2_r1,2025-09-16,35,Riego,M2,R1,,1300.0,77.8,10.0,18.0,23.1
dm_20250916_riego_m3_r1,2025-09-16,36,Riego,M3,R1,,1202.0,148.4,111.0,29.0,19.5
dm_20250916_riego_m4_r1,2025-09-16,37,Riego,M4,R1,,1214.0,162.4,61.0,34.0,20.9
dm_20250916_riego_m5_r1,2025-09-16,38,Riego,M5,R1,,724.0,109.4,67.0,25.0,22.9
dm_20250916_riego_m3_r2,2025-09-16,39,Riego,M3,R2,,839.0,79.4,68.0,19.0,23.9
dm_20250916_riego_m2_r2,2025-09-16,40,Riego,M2,R2,,1472.0,117.3,93.0,24.0,20.5
dm_20250916_riego_m4_r2,2025-09-16,41,Riego,M4,R2,,1085.0,108.3,33.0,23.0,21.2
dm_20250916_riego_m0_r2,2025-09-16,42,Riego,M0,R2,,597.0,84.7,34.0,25.0,29.5
dm_20250916_riego_m1_r2,2025-09-16,43,Riego,M1,R2,,1502.0,105.9,23.0,21.0,19.8
dm_20250916_riego_m5_r2,2025-09-16,44,Riego,M5,R2,,835.0,121.6,54.0,29.0,23.8
dm_20250916_riego_m3_r3,2025-09-16,45,Riego,M3,R3,,1110.0,195.2,85.0,40.4,20.7
dm_20250916_riego_m4_r3,2025-09-16,46,Riego,M4,R3,,1063.0,126.9,82.0,28.0,22.1
dm_20250916_riego_m0_r3,2025-09-16,47,Riego,M0,R3,,799.0,96.4,48.0,22.0,22.8
