MOMENTOS DE FERTILIZACIÓN EN FASTUCA RIZAR,,,,,Tratamiento,Momento 1,Momento 2
,,,,,M0,_,_
Productor: ,La favorita,,,,M1,2026-06-12,2026-08-04
Festuca:,Rizar,,,,M2,2026-06-25,2026-08-04
Año de siembra:,2023,,,,M3,2026-07-09,2026-08-25
Ensayo:,2025,,,,M4,2026-08-04,16-sep
,,,,,M5,2026-08-25,16-sep
Dosis de Nitrógeno:,200,kg N,,,,,
Aplicaciones:,2,(100 c/u),,,,,
Tamaño:,24,m2,,,,,
ancho,4,,,,,,
largo,6,,,,,,
Repeticiones:,4,,,,,,
Dosis/tratamiento,0.522,kilos/trat,,,,,
UREA (46 Uni N) ,217,Kilos/ha,,,,,
,,,,,,,
,,,,,,,
Agenda Actividades,,,,,,,
2026-06-12,"Instalación ensayo, conteo de macollos, muestreo para materia seca, primera aplicación aplicación Momento 1",,,,,,
2026-06-26,Primera aplicación M2,,,,,,
2026-07-10,Primera aplicación M3,,,,,,
2026-07-31,Primera aplicación M4 y segunada aplicación M1 y M2,,,,,,
2026-08-21,Primera aplicación M5,,,,,,
04-sep,Segunda aplicaicón M4,,,,,,
20-sep,"Segunda aplicaicón M5, cortes tratamientos para MS y Nitrógeno en Z31",,,,,,
2026-10-16,Cortes tratamiento para MS y Nitrógeno antesis,,,,,,
2026-11-10,Fecha aprox. Cortes para MS y Nitrógeno y cortes para evaluación de componentes de rendimiento,,,,,,
,,,,,,,
,,,,,,,
16-sep,Primer corte de Materia Seca,,,,,,
,Estado macollos a dar semilla:,,,,,,
,Nudos: 0-1-0-1-1-1-1-2-1-0,,,,,,
,"Z3,08",,,,,,
