Estimación de la muestra faltante: M1 - R4 - Secano - 16 de septiembre,,,,,
,,,,,
Parámetro,Valor,Descripción / cálculo,,,
Fecha,45916,Fecha de la unidad experimental faltante,,,
Condición,Secano,Condición hídrica,,,
Tratamiento,M1,Tratamiento,,,
Repetición,R4,Bloque o repetición,,,
Materia seca,7037,kg MS ha-1 medidos en la parcela,,,
Número de tratamientos (t),6,"M0, M1, M2, M3, M4 y M5",,,
Número de bloques (r),4,"R1, R2, R3 y R4",,,
Coeficiente curva crítica,4.8,"Nc = 4,8 x W^-0,32",,,
Exponente curva crítica,-0.32,W expresada en t MS ha-1,,,
,,,,,
,,,,,
Variable,Columna origen,B: total del bloque sin faltante,T: total del tratamiento sin faltante,G: total general sin faltante,Estimación = (tB+rT-G)/((t-1)(r-1))
N (%),I,,,,
FDA (%),J,,,,
FDN (%),K,,,,
,,,,,
,,,,,
Variable derivada,Fórmula,Resultado,,,
N acumulado (kg N ha-1),MS x N (%) / 100,,,,
Biomasa W (t MS ha-1),MS / 1000,7.037,,,
Concentración crítica Nc (%),"4,8 x W^-0,32",2.5708528604174288,,,
INN,N (%) / Nc (%),,,,
,,,,,
,,,,,
Control de consistencia,Valor,,,,
Kg N ha-1 estimado directamente con el modelo,,,,,
INN estimado directamente con el modelo,,,,,
,,,,,
Criterio utilizado,"%N, FDA y FDN se estiman con el modelo aditivo de bloques. Kg N ha-1 e INN se recalculan con las fórmulas agronómicas para mantener consistencia matemática.",,,,
,,,,,
