sheet,cell,formula,cached_value
Manejo,G25,=+SUM(G14:G24),165
Manejo,H25,=+SUM(H14:H24),1176
Datos_MS,M6,=+(F6*(100/30))*(100/$K$3),2324.5614035087724
Datos_MS,M7,=+(F7*(100/30))*(100/$K$3),2324.5614035087724
Datos_MS,M8,=+(F8*(100/30))*(100/$K$3),2438.5964912280706
Datos_MS,M9,=+(F9*(100/30))*(100/$K$3),2403.508771929825
Datos_MS,M10,=+(F10*(100/30))*(100/$K$3),2043.8596491228075
Datos_MS,M11,=+(F11*(100/30))*(100/$K$3),2210.5263157894738
Datos_MS,M12,=+(F12*(100/30))*(100/$K$3),2631.5789473684213
Datos_MS,M13,=+(F13*(100/30))*(100/$K$3),2675.4385964912285
Datos_MS,M14,=+(F14*(100/30))*(100/$K$3),2307.0175438596493
Datos_MS,M15,=+(F15*(100/30))*(100/$K$3),2807.0175438596493
Datos_MS,L112,=+((G112*(100/$K$3))*(K112/100))*10,10222.5
Datos_MS,L113,=+((G113*(100/$K$3))*(K113/100))*10,13121.368421052632
Datos_MS,L114,=+((G114*(100/$K$3))*(K114/100))*10,13048.684210526319
Datos_MS,L115,=+((G115*(100/$K$3))*(K115/100))*10,14020.63157894737
Datos_MS,L116,=+((G116*(100/$K$3))*(K116/100))*10,9090.78947368421
Datos_MS,L117,=+((G117*(100/$K$3))*(K117/100))*10,10028.052631578948
Datos_MS,L118,=+((G118*(100/$K$3))*(K118/100))*10,12573.473684210527
Datos_MS,L119,=+((G119*(100/$K$3))*(K119/100))*10,15419.368421052632
Datos_MS,L120,=+((G120*(100/$K$3))*(K120/100))*10,12751.157894736843
Datos_MS,L121,=+((G121*(100/$K$3))*(K121/100))*10,5595
Datos_MS,L122,=+((G122*(100/$K$3))*(K122/100))*10,17003.631578947367
Datos_MS,L123,=+((G123*(100/$K$3))*(K123/100))*10,10622.92105263158
Datos_MS,L124,=+((G124*(100/$K$3))*(K124/100))*10,13945.894736842107
Datos_MS,L125,=+((G125*(100/$K$3))*(K125/100))*10,14700
Datos_MS,L126,=+((G126*(100/$K$3))*(K126/100))*10,10395.157894736842
Datos_MS,L127,=+((G127*(100/$K$3))*(K127/100))*10,15048.000000000002
Datos_MS,L128,=+((G128*(100/$K$3))*(K128/100))*10,10469.052631578947
Datos_MS,L129,=+((G129*(100/$K$3))*(K129/100))*10,10990.631578947368
Datos_MS,L130,=+((G130*(100/$K$3))*(K130/100))*10,13304.5
Datos_MS,L131,=+((G131*(100/$K$3))*(K131/100))*10,12378.394736842109
Datos_MS,L132,=+((G132*(100/$K$3))*(K132/100))*10,13541.263157894738
Datos_MS,L133,=+((G133*(100/$K$3))*(K133/100))*10,12288.315789473687
Datos_MS,L134,=+((G134*(100/$K$3))*(K134/100))*10,14732.236842105265
Datos_MS,L135,=+((G135*(100/$K$3))*(K135/100))*10,15530.210526315794
Datos_MS,L136,=+((G136*(100/$K$3))*(K136/100))*10,12032.07894736842
Datos_MS,L137,=+((G137*(100/$K$3))*(K137/100))*10,14547.894736842107
Datos_MS,L138,=+((G138*(100/$K$3))*(K138/100))*10,12200.263157894737
Datos_MS,L139,=+((G139*(100/$K$3))*(K139/100))*10,11583.947368421052
Datos_MS,L140,=+((G140*(100/$K$3))*(K140/100))*10,13762.57894736842
Datos_MS,L141,=+((G141*(100/$K$3))*(K141/100))*10,10043.157894736843
Datos_MS,L142,=+((G142*(100/$K$3))*(K142/100))*10,12133.947368421052
Datos_MS,L143,=+((G143*(100/$K$3))*(K143/100))*10,13899.789473684212
Datos_MS,L144,=+((G144*(100/$K$3))*(K144/100))*10,13658.684210526317
Datos_MS,L145,=+((G145*(100/$K$3))*(K145/100))*10,14957.289473684212
Datos_MS,L146,=+((G146*(100/$K$3))*(K146/100))*10,11905
Datos_MS,L147,=+((G147*(100/$K$3))*(K147/100))*10,10865.473684210527
Datos_MS,L148,=+((G148*(100/$K$3))*(K148/100))*10,14910.000000000002
Datos_MS,L149,=+((G149*(100/$K$3))*(K149/100))*10,11606.736842105263
