observation_id,date,sample_id,sector,treatment,block,panicle_count,dirty_seed_mass_g,clean_seed_mass_g,w100_rep1_g,w100_rep2_g,w100_rep3_g
harvest_20251112_secano_m0_r1,2025-11-12,153,Secano,M0,R1,457.0,44.2,34.5,0.2227,0.2244,0.2342
harvest_20251112_secano_m1_r1,2025-11-12,154,Secano,M1,R1,622.0,131.4,107.5,0.2697,0.234,0.2548
harvest_20251112_secano_m2_r1,2025-11-12,155,Secano,M2,R1,678.0,111.5,91.4,0.2468,0.2428,0.2495
harvest_20251112_secano_m3_r1,2025-11-12,156,Secano,M3,R1,507.0,110.0,93.3,0.2291,0.2519,0.2355
harvest_20251112_secano_m4_r1,2025-11-12,157,Secano,M4,R1,549.0,114.6,95.5,0.2434,0.255,0.2416
harvest_20251112_secano_m5_r1,2025-11-12,158,Secano,M5,R1,390.0,84.8,71.7,0.234,0.2444,0.2523
harvest_20251112_secano_m3_r2,2025-11-12,159,Secano,M3,R2,612.0,119.7,97.4,0.2259,0.2183,0.2343
harvest_20251112_secano_m2_r2,2025-11-12,160,Secano,M2,R2,540.0,124.7,106.1,0.2621,0.2573,0.2589
harvest_20251112_secano_m4_r2,2025-11-12,161,Secano,M4,R2,586.0,145.4,125.0,0.2594,0.2624,0.2729
harvest_20251112_secano_m0_r2,2025-11-12,162,Secano,M0,R2,433.0,57.1,48.2,0.2613,0.2479,0.2509
harvest_20251112_secano_m1_r2,2025-11-12,163,Secano,M1,R2,693.0,129.7,110.3,0.2489,0.2543,0.2527
harvest_20251112_secano_m5_r2,2025-11-12,164,Secano,M5,R2,531.0,117.7,97.6,0.2563,0.2418,0.237
harvest_20251112_secano_m3_r3,2025-11-12,165,Secano,M3,R3,562.0,121.1,104.1,0.2467,0.2431,0.229
harvest_20251112_secano_m4_r3,2025-11-12,166,Secano,M4,R3,485.0,119.7,103.3,0.2418,0.2242,0.2344
harvest_20251112_secano_m0_r3,2025-11-12,167,Secano,M0,R3,502.0,55.3,46.8,0.2476,0.2401,0.2227
harvest_20251112_secano_m1_r3,2025-11-12,168,Secano,M1,R3,748.0,133.3,109.2,0.2447,0.2369,0.2325
harvest_20251112_secano_m5_r3,2025-11-12,169,Secano,M5,R3,648.0,118.6,103.2,0.2455,0.2669,0.2511
harvest_20251112_secano_m2_r3,2025-11-12,170,Secano,M2,R3,657.0,127.9,109.2,0.2374,0.2161,0.2274
harvest_20251112_secano_m1_r4,2025-11-12,171,Secano,M1,R4,600.0,110.3,90.7,0.2076,0.1978,0.192
harvest_20251112_secano_m0_r4,2025-11-12,172,Secano,M0,R4,537.0,100.0,84.1,0.2471,0.2505,0.2379
harvest_20251112_secano_m5_r4,2025-11-12,173,Secano,M5,R4,498.0,133.3,114.7,0.2714,0.2568,0.2477
harvest_20251112_secano_m4_r4,2025-11-12,174,Secano,M4,R4,667.0,146.2,123.3,0.2414,0.2402,0.2277
harvest_20251112_secano_m3_r4,2025-11-12,175,Secano,M3,R4,566.0,136.7,113.6,0.2332,0.2313,0.2368
harvest_20251112_secano_m2_r4,2025-11-12,176,Secano,M2,R4,709.0,129.1,108.9,0.2628,0.2523,0.2692
harvest_20251112_riego_m0_r1,2025-11-12,177,Riego,M0,R1,452.0,52.5,36.9,0.2277,0.2398,0.2275
harvest_20251112_riego_m1_r1,2025-11-12,178,Riego,M1,R1,571.0,114.5,87.4,0.2344,0.237,0.2362
harvest_20251112_riego_m2_r1,2025-11-12,179,Riego,M2,R1,580.0,152.4,128.7,0.239,0.2126,0.214
harvest_20251112_riego_m3_r1,2025-11-12,180,Riego,M3,R1,640.0,139.3,108.8,0.2231,0.2229,0.212
harvest_20251112_riego_m4_r1,2025-11-12,181,Riego,M4,R1,487.0,112.8,93.9,0.2191,0.2173,0.234
harvest_20251112_riego_m5_r1,2025-11-12,182,Riego,M5,R1,369.0,107.8,89.5,0.2522,0.2584,0.2603
harvest_20251112_riego_m3_r2,2025-11-12,183,Riego,M3,R2,471.0,94.9,77.7,0.2758,0.2628,0.2712
harvest_20251112_riego_m2_r2,2025-11-12,184,Riego,M2,R2,648.0,120.0,100.1,0.2367,0.2238,0.2305
harvest_20251112_riego_m4_r2,2025-11-12,185,Riego,M4,R2,418.0,127.3,109.7,0.2675,0.2698,0.265
harvest_20251112_riego_m0_r2,2025-11-12,186,Riego,M0,R2,386.0,62.2,48.6,0.2153,0.2278,0.2174
harvest_20251112_riego_m1_r2,2025-11-12,187,Riego,M1,R2,593.0,116.4,92.7,0.2212,0.2143,0.2095
harvest_20251112_riego_m5_r2,2025-11-12,188,Riego,M5,R2,459.0,108.7,85.8,0.2148,0.2207,0.2141
harvest_20251112_riego_m3_r3,2025-11-12,189,Riego,M3,R3,684.0,123.4,100.0,0.2149,0.2074,0.2114
harvest_20251112_riego_m4_r3,2025-11-12,190,Riego,M4,R3,443.0,107.4,80.6,0.2028,0.207,0.2039
harvest_20251112_riego_m0_r3,2025-11-12,191,Riego,M0,R3,388.0,61.6,50.6,0.2322,0.2455,0.2473
harvest_20251112_riego_m1_r3,2025-11-12,192,Riego,M1,R3,596.0,123.4,94.6,0.205,0.2269,0.2298
harvest_20251112_riego_m5_r3,2025-11-12,193,Riego,M5,R3,403.0,110.0,92.1,0.2324,0.2354,0.2345
harvest_20251112_riego_m2_r3,2025-11-12,194,Riego,M2,R3,528.0,129.1,106.0,0.2555,0.2544,0.2347
harvest_20251112_riego_m1_r4,2025-11-12,195,Riego,M1,R4,673.0,134.5,103.2,0.2211,0.2286,0.2321
harvest_20251112_riego_m0_r4,2025-11-12,196,Riego,M0,R4,621.0,80.1,60.1,0.1974,0.1918,0.2029
harvest_20251112_riego_m5_r4,2025-11-12,197,Riego,M5,R4,373.0,97.1,83.0,0.2692,0.2627,0.2474
harvest_20251112_riego_m4_r4,2025-11-12,198,Riego,M4,R4,538.0,148.1,122.7,0.2393,0.2297,0.2486
harvest_20251112_riego_m3_r4,2025-11-12,199,Riego,M3,R4,519.0,119.5,91.0,0.2096,0.2236,0.2037
harvest_20251112_riego_m2_r4,2025-11-12,200,Riego,M2,R4,547.0,131.8,106.7,0.2012,0.2094,0.2036
