Análisis de Suelo,,,,,,,
P (ppm),14,,,,,,
K (meq),0.77,,,,,,
SB (%),91,,,,,,
MO (%),3.4,,,,,,
pH,6.04,,,,,,
Calcio (meq),20.5,,,,,,
Magnesio (meq),3.53,,,,,,
Sodio,0.33,,,,,,
,,,,,,,
,,,,,,,
Manejo 2025 (chacra),,,,,AGUA,,
Mes,Aplicación,,,,Mes,Riego,Lluvia
Enero,"Pastoreo rotativo en subpotreros de 50 ha, hasta cierre",,,,Enero,,62
Febrero,,,,,Febrero,,235
Marzo,"1,6 kg/ha Diuron 80%",,,,Marzo,,151
Abril,150 kg/ha Urea Azufrada,,,,Abril,,74
Mayo,,,,,Mayo,,144
Junio,,,,,Junio,15,43
Julio,1° Julio Cierre pastoreo. 130 kg/ha Urea Azufrada,,,,Julio,,62
Agosto,130 kg/ha Urea Azufrada,,,,Agosto,,101
Setiembre,,,,,Setiembre,30,89
Octubre,Spireel protioconazol + trifloxistrobin 750 cc/ha. Rhino Clorantraniliprole 12 gr/ha,,,,Octubre,90,141
Noviembre,,,,,Noviembre,30,74
,,,,,TOTAL,165,1176
