sample_id,date,sector,treatment,block,lab_registration,n_pct,adf_pct,ndf_pct,measurement_status,data_origin
1,2025-06-12,Riego,GENERAL,R1,261317,1.056254096661484,27.55402873636556,56.12625115996776,measured,Medido
2,2025-06-12,Riego,GENERAL,R2,261318,1.161464413126703,25.02829752367079,46.26741010588113,measured,Medido
3,2025-06-12,Riego,GENERAL,R3,261319,1.201517882876105,25.27295884923526,46.67870950833421,measured,Medido
4,2025-06-12,Riego,GENERAL,R4,261320,1.117015243158299,26.08022760378733,47.1703333682776,measured,Medido
5,2025-06-12,Secano,GENERAL,R1,261321,1.362960041459786,23.93099235251275,44.69204738442185,measured,Medido
6,2025-06-12,Secano,GENERAL,R2,261322,1.110674211344601,26.94586576879683,54.00853735397182,measured,Medido
7,2025-06-12,Secano,GENERAL,R3,261323,1.353908434057208,26.35502731245447,47.92727120243212,measured,Medido
8,2025-06-12,Secano,GENERAL,R4,261324,1.364149863751107,26.58994391063623,54.31064886975585,measured,Medido
9,2025-09-16,Secano,M0,R1,261325,1.051618518147015,28.23544352578158,56.03301225553062,measured,Medido
10,2025-09-16,Secano,M1,R1,261326,2.405675256198071,29.97526584122359,51.11100115316071,measured,Medido
11,2025-09-16,Secano,M2,R1,261327,1.794890763495328,31.91856518572469,54.49011950938254,measured,Medido
12,2025-09-16,Secano,M3,R1,261328,1.85192016985138,32.13048798252003,53.61935213334731,measured,Medido
13,2025-09-16,Secano,M4,R1,261329,2.031646575388268,28.43270939548434,49.09964252018032,measured,Medido
14,2025-09-16,Secano,M5,R1,261330,1.947404570607018,32.56981245447924,54.11714959639374,measured,Medido
15,2025-09-16,Secano,M3,R2,261331,2.047163891535851,30.84303495561869,61.21009225202022,measured,Medido
16,2025-09-16,Secano,M2,R2,261332,1.804620706488122,29.67630917698471,51.0004444910368,measured,Medido
17,2025-09-16,Secano,M4,R2,261333,1.666812444622766,30.73995630007283,52.20555194464828,measured,Medido
18,2025-09-16,Secano,M0,R2,261334,1.051174749653109,27.58569009468318,48.28363140790439,measured,Medido
19,2025-09-16,Secano,M1,R2,261335,2.486501616597289,32.80936088856519,55.32531292588322,measured,Medido
20,2025-09-16,Secano,M5,R2,261336,2.00185031011251,30.31055353241078,52.5333106195618,measured,Medido
21,2025-09-16,Secano,M3,R3,261337,2.312556684554558,31.9890750182083,53.93146975573959,measured,Medido
22,2025-09-16,Secano,M4,R3,261338,2.569192222946654,31.26679533867443,53.38913932278017,measured,Medido
23,2025-09-16,Secano,M0,R3,261339,1.226879930454553,26.34516387472688,46.86250235873781,measured,Medido
24,2025-09-16,Secano,M1,R3,261340,2.112009014159854,32.3198543335761,55.18341125904183,measured,Medido
25,2025-09-16,Secano,M5,R3,261341,1.760480172860558,29.00568491771242,58.1857270744406,measured,Medido
26,2025-09-16,Secano,M2,R3,261342,2.24730807629938,29.46752367079388,50.39613062165846,measured,Medido
27,2025-09-16,Secano,M1,R4,,,,,estimated,Estimado por modelo
28,2025-09-16,Secano,M0,R4,261343,1.200149228480198,29.01329686457403,57.36571241985477,measured,Medido
29,2025-09-16,Secano,M5,R4,261344,1.830118849156594,31.6028932993445,53.50414089527204,measured,Medido
30,2025-09-16,Secano,M4,R4,261345,2.293777274019091,31.87163146394756,53.25141419436,measured,Medido
31,2025-09-16,Secano,M3,R4,261346,2.181144035976395,31.24372906045157,53.481123807527,measured,Medido
32,2025-09-16,Secano,M2,R4,261347,2.371948496246886,31.63783685360524,53.22848935947164,measured,Medido
33,2025-09-16,Riego,M0,R1,261348,1.052281913168497,27.08489439184268,47.27336303595765,measured,Medido
34,2025-09-16,Riego,M1,R1,261349,2.524765844158015,33.66440416937859,63.96210391643476,measured,Medido
35,2025-09-16,Riego,M2,R1,261350,1.982872748549744,31.02532592862345,53.19411783205788,measured,Medido
