sector,treatment,variable,label,date,posterior_median,lower_95,upper_95,p_gt_0,diagnostics_ready
Secano,M0,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,4495.173923155695,4059.424363603272,4954.514206675632,1.0,True
Secano,M0,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,6409.462588148017,5688.525068428232,7162.909012653978,1.0,True
Secano,M0,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,10651.074881971252,9306.076746690327,12029.1915695589,1.0,True
Secano,M1,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,7647.037797784794,6857.975977134906,8487.569410077775,1.0,True
Secano,M1,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,13352.876012039327,12036.419022701422,14889.561469087974,1.0,True
Secano,M1,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,14501.199935905706,13156.93457755796,15979.462815992743,1.0,True
Secano,M2,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,8056.072190142905,7064.963376336151,9222.788279034674,1.0,True
Secano,M2,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,13154.110048898056,11934.002250068264,14562.36948846409,1.0,True
Secano,M2,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,13802.352492900816,12507.274347043844,15256.420031454349,1.0,True
Secano,M3,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,6499.217665907974,5816.391636800534,7207.244251137124,1.0,True
Secano,M3,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,12874.63363010137,11576.500955746102,14249.982999511752,1.0,True
Secano,M3,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,13882.550994559482,12565.820318555649,15344.622732251835,1.0,True
Secano,M4,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,5858.446478870257,5264.174011220687,6564.16568963262,1.0,True
Secano,M4,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,11528.486586469277,10462.198635953408,12656.340232546989,1.0,True
Secano,M4,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,12359.535431707816,11152.283393410546,13699.67745154343,1.0,True
Secano,M5,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,4387.691013700974,3879.2949877934993,5054.375084006481,1.0,True
Secano,M5,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,9571.128767458433,8664.738913114108,10510.420514063386,1.0,True
Secano,M5,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,10829.743351419997,9797.91907636958,11943.525897340953,1.0,True
Riego,M0,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,4696.597703616519,4286.078916450892,5142.214980420708,1.0,True
Riego,M0,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Oct,6137.883822161623,5544.149591518281,6833.520399223335,1.0,True
Riego,M0,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Nov,11006.95034277736,9574.157925239107,12497.185136261276,1.0,True
Riego,M1,biomass_state_kg_ha,Biomasa aérea latente (kg MS/ha),Sep,7882.584903718538,7130.101362746232,8706.193805054265,1.0,True
